#At time x process y state arr w total z remain y wait k
At time 7 process 1 started arr 7 total 1 remain 1 wait 0
At time 7 process 1 stopped arr 7 total 1 remain 1 wait 0
At time 7 process 1 resumed arr 7 total 1 remain 1 wait 0
At time 7 process 1 stopped arr 7 total 1 remain 1 wait 0
At time 7 process 1 resumed arr 7 total 1 remain 1 wait 0
At time 7 process 1 stopped arr 7 total 1 remain 1 wait 0
At time 7 process 1 resumed arr 7 total 1 remain 1 wait 0
At time 7 process 1 stopped arr 7 total 1 remain 1 wait 0
At time 7 process 1 resumed arr 7 total 1 remain 1 wait 0
At time 7 process 1 stopped arr 7 total 1 remain 1 wait 0
At time 7 process 1 resumed arr 7 total 1 remain 1 wait 0
At time 7 process 1 stopped arr 7 total 1 remain 1 wait 0
At time 7 process 1 resumed arr 7 total 1 remain 1 wait 0
At time 7 process 1 stopped arr 7 total 1 remain 1 wait 0
At time 7 process 1 resumed arr 7 total 1 remain 1 wait 0
At time 7 process 1 stopped arr 7 total 1 remain 1 wait 0
At time 7 process 1 resumed arr 7 total 1 remain 1 wait 0
At time 8 process 1 finished arr 7 total 1 remain 0 wait 0 TA 1 WTA 1.00
At time 8 process 2 started arr 8 total 8 remain 8 wait 0
At time 8 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 8 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 8 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 8 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 8 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 8 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 8 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 8 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 8 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 8 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 8 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 8 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 8 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 8 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 8 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 8 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 9 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 9 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 9 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 9 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 9 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 9 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 9 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 9 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 9 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 9 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 9 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 9 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 9 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 9 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 9 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 9 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 10 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 10 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 10 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 10 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 10 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 10 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 10 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 10 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 10 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 10 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 10 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 10 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 10 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 10 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 10 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 10 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 11 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 11 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 11 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 11 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 11 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 11 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 11 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 11 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 11 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 11 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 11 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 11 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 11 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 11 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 11 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 11 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 12 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 12 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 12 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 12 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 12 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 12 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 12 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 12 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 12 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 12 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 12 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 12 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 12 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 12 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 12 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 12 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 12 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 12 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 13 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 13 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 13 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 13 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 13 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 13 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 13 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 13 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 13 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 13 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 13 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 13 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 13 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 13 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 13 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 13 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 14 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 14 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 14 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 14 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 14 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 14 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 14 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 14 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 14 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 14 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 14 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 14 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 14 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 14 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 14 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 14 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 15 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 15 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 15 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 15 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 15 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 15 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 15 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 15 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 15 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 15 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 15 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 15 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 15 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 15 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 15 process 2 stopped arr 8 total 8 remain 8 wait 0
At time 15 process 2 resumed arr 8 total 8 remain 8 wait 0
At time 16 process 2 finished arr 8 total 8 remain 0 wait 0 TA 8 WTA 1.00
At time 18 process 3 started arr 18 total 28 remain 28 wait 0
At time 18 process 3 stopped arr 18 total 28 remain 28 wait 0
At time 18 process 3 resumed arr 18 total 28 remain 28 wait 0
At time 18 process 3 stopped arr 18 total 28 remain 28 wait 0
At time 18 process 3 resumed arr 18 total 28 remain 28 wait 0
At time 18 process 3 stopped arr 18 total 28 remain 28 wait 0
At time 18 process 3 resumed arr 18 total 28 remain 28 wait 0
At time 18 process 3 stopped arr 18 total 28 remain 28 wait 0
At time 18 process 3 resumed arr 18 total 28 remain 28 wait 0
At time 18 process 3 stopped arr 18 total 28 remain 28 wait 0
At time 18 process 3 resumed arr 18 total 28 remain 28 wait 0
At time 18 process 3 stopped arr 18 total 28 remain 28 wait 0
At time 18 process 3 resumed arr 18 total 28 remain 28 wait 0
At time 18 process 3 stopped arr 18 total 28 remain 28 wait 0
At time 18 process 3 resumed arr 18 total 28 remain 28 wait 0
At time 18 process 3 stopped arr 18 total 28 remain 28 wait 0
At time 18 process 3 resumed arr 18 total 28 remain 28 wait 0
At time 19 process 3 stopped arr 18 total 28 remain 28 wait 0
At time 19 process 4 started arr 19 total 3 remain 3 wait 9
At time 19 process 4 stopped arr 19 total 3 remain 3 wait 9
At time 19 process 5 started arr 19 total 1 remain 1 wait 21
At time 19 process 5 stopped arr 19 total 1 remain 1 wait 21
At time 19 process 3 resumed arr 18 total 28 remain 28 wait 24
At time 19 process 3 stopped arr 18 total 28 remain 28 wait 24
At time 19 process 4 resumed arr 19 total 3 remain 3 wait 33
At time 19 process 4 stopped arr 19 total 3 remain 3 wait 33
At time 19 process 5 resumed arr 19 total 1 remain 1 wait 45
At time 19 process 5 stopped arr 19 total 1 remain 1 wait 45
At time 19 process 3 resumed arr 18 total 28 remain 28 wait 48
At time 19 process 3 stopped arr 18 total 28 remain 28 wait 48
At time 19 process 4 resumed arr 19 total 3 remain 3 wait 57
At time 19 process 4 stopped arr 19 total 3 remain 3 wait 57
At time 19 process 5 resumed arr 19 total 1 remain 1 wait 69
At time 20 process 5 finished arr 19 total 1 remain 0 wait 69 TA 1 WTA 1.00
At time 20 process 3 resumed arr 18 total 28 remain 28 wait 65
At time 20 process 3 stopped arr 18 total 28 remain 28 wait 65
At time 20 process 4 resumed arr 19 total 3 remain 3 wait 74
At time 20 process 4 stopped arr 19 total 3 remain 3 wait 74
